 Cell_ID Red Red_Bg Green Green_Bg Scaled_Red Scaled_Green AnteriortoPostX VentraltoDorsalY Area
       1      232.273      40.4318      77.6591      40.0909      9.28832      1.32476      52.5000     147          44
       2      135.174      33.6957      114.522      26.6957      5.89547      4.65099     -43.5000     158          23
       3      245.154      57.3654      57.1538      45.2692      6.40823     0.371146      46.5000     159          52
       4      247.375      56.3750      56.9000      46.1500      6.63233     0.329306      58.5000     159          40
       5      241.710      60.6452      179.742      46.5484      5.84462      4.04521      104.500     168          31
       6      132.370      58.3696      172.261      46.5652      2.48179      3.81611      111.500     174          46
       7      234.934      64.4426      65.3607      43.0656      5.17905     0.731883      74.5000     172          61
       8      252.837      63.0930      68.0000      45.2093      5.88717     0.712677      93.5000     171          43
       9      250.509      42.5189      141.868      36.1792      9.57594      4.12982     -121.500     174         106
      10      253.748      63.5306      120.122      40.8435      5.86121      2.74408      21.5000     181         147
      11      240.283      50.5435      96.2826      39.7391      7.34871      2.01153     -96.5000     173          46
      12      238.739      51.6957      100.522      40.4783      7.08285      2.09704     -74.5000     173          23
      13      190.750      55.6250      57.4375      41.3750      4.75538     0.548830      56.5000     174          16
      14      176.000      57.9545      59.2273      36.3182      3.98732     0.891757     -5.50000     176          22
      15      241.600      53.1667      79.5667      40.6333      6.93805      1.35457     -62.5000     178          30
      16      236.745      59.0182      59.1636      44.2000      5.89505     0.478605      131.500     179          55
      17      254.281      50.0000      166.188      40.6875      7.99794      4.36059     -72.5000     180          32
      18      71.7500      56.5000      196.000      41.0000     0.528373      5.34454      58.5000     180          12
      19      245.384      47.3488      107.651      35.3953      8.18751      2.88595     -94.5000     186          86
      20      254.636      61.6364      81.5152      42.0606      6.12971      1.32612      82.5000     184          33
      21      250.548      59.6774      55.7742      41.1129      6.26108     0.504146      64.5000     187          62
      22      247.591      58.9545      64.1591      44.2955      6.26365     0.633960      94.5000     186          44
      23      238.783      56.6739      79.1957      41.0652      6.29024      1.31268      51.5000     189          46
      24      28.5000      48.0000      229.500      40.0000    -0.795267      6.69749     -73.5000     190           2
      25      252.600      62.6667      49.1333      40.8667      5.93313     0.285972      74.5000     194          45
      26      244.333      41.7273      192.788      32.8182      9.50499      6.89106     -106.500     194          33
      27      241.980      47.0000      123.347      37.9592      8.12102      3.18010     -81.5000     195          49
      28      206.233      46.6333      86.4000      42.6667      6.69971      1.44906      105.500     195          30
      29      248.238      62.8250      53.0375      38.5875      5.77731     0.529400      15.5000     199          80
      30      213.509      39.3019      46.6038      27.1698      8.67707      1.01120      192.500     195          53
      31      241.638      51.5319      115.468      36.6170      7.22171      3.04430     -53.5000     199          47
      32      249.886      52.7714      65.6286      41.4857      7.31204     0.822721      91.5000     199          35
      33      241.159      55.4773      69.6136      38.2273      6.55200      1.16073      157.500     199          44
      34      252.268      45.1964      62.0536      32.5179      8.96882      1.28407     -100.500     201          56
      35      36.6286      50.1143      239.686      40.8571    -0.526783      6.87976     -69.5000     200          35
      36      251.854      66.4634      67.7805      37.8537      5.46039      1.11767      68.5000     200          41
      37      246.931      60.2069      90.5862      40.4828      6.07119      1.74969      52.5000     201          29
      38      167.706      58.0294      110.941      37.7941      3.69986      2.73612      76.5000     203          34
      39      191.000      59.0000      35.0000      40.0000      4.37967    -0.176715      46.5000     205           1
      40      252.404      49.8511      45.5957      36.6383      7.95397     0.345630     -75.5000     209          47
      41      253.218      57.2545      71.2545      36.4727      6.70016      1.34818      42.5000     211          55
      42      221.250      51.4063      56.1250      35.0000      6.46775     0.853279      175.500     210          32
      43      247.667      47.4706      105.745      33.5686      8.25563      3.03966     -89.5000     211          51
      44      249.304      55.7391      150.935      41.1522      6.79808      3.77141     -59.5000     213          46
      45      235.880      62.3200      41.5200      35.8000      5.45182     0.225879      64.5000     211          25
      46      253.239      53.2826      103.500      38.8478      7.34631      2.35277     -67.5000     213          46
      47      236.191      50.8088      49.5000      35.6324      7.14247     0.550200      81.5000     214          68
      48      250.885      52.1923      56.3269      37.8462      7.45236     0.690337      151.500     216          52
      49      253.622      56.1333      68.5556      32.4667      6.88718      1.57144      15.5000     217          45
      50      248.130      57.1522      80.8913      35.2391      6.54140      1.83147      57.5000     218          46
      51      199.739      57.1304      100.348      39.2609      4.88650      2.19964     -49.5000     219          23
      52      221.366      47.9024      92.3902      31.2683      7.08875      2.76348     -140.500     220          41
      53      230.839      58.2419      81.6452      38.3387      5.80118      1.59690     -8.50000     223          62
      54      247.048      53.1667      88.4048      34.3333      7.13863      2.22646      27.5000     221          42
      55      241.588      57.8824      76.9412      39.4706      6.21293      1.34208    -0.500000     225          34
      56      221.148      49.7778      46.4815      32.7778      6.73937     0.591045     -161.500     226          27
      57      241.508      52.7619      57.1429      36.8413      7.00288     0.779037      154.500     231          63
      58      234.970      53.5455      90.6667      42.6667      6.63273      1.59043     -67.5000     229          33
      59      227.741      55.7407      75.4815      39.5185      6.04053      1.28652     -58.5000     230          27
      60      84.6333      50.9667      163.733      30.1000      1.29310      6.27640      39.5000     234          30
      61      37.5366      46.4634      229.951      34.5854    -0.376102      7.98581     -124.500     233          41
      62      42.8000      54.6000      196.000      33.8000    -0.423067      6.78417      24.5000     233          20
      63      252.023      61.4713      79.0805      42.7241      6.06820      1.20301      2.50000     240          87
      64      229.042      52.4583      55.2917      35.3333      6.58953     0.798550      144.500     235          24
      65      208.484      48.9032      45.0000      31.4194      6.38796     0.611063     -150.500     236          31
      66      200.720      45.0000      52.7600      37.6000      6.77410     0.569999     -104.500     236          25
